"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 04 23:08:06 QYZT 2025","Tue Mar 04 23:08:13 QYZT 2025","7286","tests","test_questions","TestMainPage","","","test_text[question_locator1-answer_locator1-\u041f\u043e\u043a\u0430 \u0447\u0442\u043e \u0443 \u043d\u0430\u0441 \u0442\u0430\u043a: \u043e\u0434\u0438\u043d \u0437\u0430\u043a\u0430\u0437 \u2014 \u043e\u0434\u0438\u043d \u0441\u0430\u043c\u043e\u043a\u0430\u0442. \u0415\u0441\u043b\u0438 \u0445\u043e\u0442\u0438\u0442\u0435 \u043f\u043e\u043a\u0430\u0442\u0430\u0442\u044c\u0441\u044f \u0441 \u0434\u0440\u0443\u0437\u044c\u044f\u043c\u0438, \u043c\u043e\u0436\u0435\u0442\u0435 \u043f\u0440\u043e\u0441\u0442\u043e \u0441\u0434\u0435\u043b\u0430\u0442\u044c \u043d\u0435\u0441\u043a\u043e\u043b\u044c\u043a\u043e \u0437\u0430\u043a\u0430\u0437\u043e\u0432 \u2014 \u043e\u0434\u0438\u043d \u0437\u0430 \u0434\u0440\u0443\u0433\u0438\u043c.]","Проверка, что при клике на вопрос отображается правильный текст ответа"
"passed","Tue Mar 04 23:07:08 QYZT 2025","Tue Mar 04 23:07:36 QYZT 2025","28086","tests","test_ordering","TestOrdering","","","test_order_flow_bottom_button[Order via BOTTOM button]",""
"passed","Tue Mar 04 23:07:48 QYZT 2025","Tue Mar 04 23:07:54 QYZT 2025","6326","tests","test_questions","TestMainPage","","","test_text[question_locator0-answer_locator0-\u0421\u0443\u0442\u043a\u0438 \u2014 400 \u0440\u0443\u0431\u043b\u0435\u0439. \u041e\u043f\u043b\u0430\u0442\u0430 \u043a\u0443\u0440\u044c\u0435\u0440\u0443 \u2014 \u043d\u0430\u043b\u0438\u0447\u043d\u044b\u043c\u0438 \u0438\u043b\u0438 \u043a\u0430\u0440\u0442\u043e\u0439.]","Проверка, что при клике на вопрос отображается правильный текст ответа"
"passed","Tue Mar 04 23:10:02 QYZT 2025","Tue Mar 04 23:10:08 QYZT 2025","6398","tests","test_questions","TestMainPage","","","test_text[question_locator6-answer_locator6-\u0414\u0430, \u043f\u043e\u043a\u0430 \u0441\u0430\u043c\u043e\u043a\u0430\u0442 \u043d\u0435 \u043f\u0440\u0438\u0432\u0435\u0437\u043b\u0438. \u0428\u0442\u0440\u0430\u0444\u0430 \u043d\u0435 \u0431\u0443\u0434\u0435\u0442, \u043e\u0431\u044a\u044f\u0441\u043d\u0438\u0442\u0435\u043b\u044c\u043d\u043e\u0439 \u0437\u0430\u043f\u0438\u0441\u043a\u0438 \u0442\u043e\u0436\u0435 \u043d\u0435 \u043f\u043e\u043f\u0440\u043e\u0441\u0438\u043c. \u0412\u0441\u0435 \u0436\u0435 \u0441\u0432\u043e\u0438.]","Проверка, что при клике на вопрос отображается правильный текст ответа"
"passed","Tue Mar 04 23:09:13 QYZT 2025","Tue Mar 04 23:09:22 QYZT 2025","8505","tests","test_questions","TestMainPage","","","test_text[question_locator4-answer_locator4-\u041f\u043e\u043a\u0430 \u0447\u0442\u043e \u043d\u0435\u0442! \u041d\u043e \u0435\u0441\u043b\u0438 \u0447\u0442\u043e-\u0442\u043e \u0441\u0440\u043e\u0447\u043d\u043e\u0435 \u2014 \u0432\u0441\u0435\u0433\u0434\u0430 \u043c\u043e\u0436\u043d\u043e \u043f\u043e\u0437\u0432\u043e\u043d\u0438\u0442\u044c \u0432 \u043f\u043e\u0434\u0434\u0435\u0440\u0436\u043a\u0443 \u043f\u043e \u043a\u0440\u0430\u0441\u0438\u0432\u043e\u043c\u0443 \u043d\u043e\u043c\u0435\u0440\u0443 1010.]","Проверка, что при клике на вопрос отображается правильный текст ответа"
"passed","Tue Mar 04 23:05:27 QYZT 2025","Tue Mar 04 23:05:33 QYZT 2025","6362","tests","test_order_and_navigation","TestOrderAndNavigation","","","test_bottom_order_button","Проверяем, что при клике на нижнюю кнопку ""Заказать"" открывается форма заказа самоката"
"passed","Tue Mar 04 23:06:10 QYZT 2025","Tue Mar 04 23:06:19 QYZT 2025","8888","tests","test_order_and_navigation","TestOrderAndNavigation","","","test_yandex_logo","Проверяем, что при клике на логотип ""Яндекс"" открывается главная страница Дзена в новом окне"
"passed","Tue Mar 04 23:05:09 QYZT 2025","Tue Mar 04 23:05:15 QYZT 2025","5542","tests","test_order_and_navigation","TestOrderAndNavigation","","","test_top_order_button","Проверяем, что при клике на верхнюю кнопку ""Заказать"" открывается форма заказа самоката"
"passed","Tue Mar 04 23:08:26 QYZT 2025","Tue Mar 04 23:08:40 QYZT 2025","14506","tests","test_questions","TestMainPage","","","test_text[question_locator2-answer_locator2-\u0414\u043e\u043f\u0443\u0441\u0442\u0438\u043c, \u0432\u044b \u043e\u0444\u043e\u0440\u043c\u043b\u044f\u0435\u0442\u0435 \u0437\u0430\u043a\u0430\u0437 \u043d\u0430 8 \u043c\u0430\u044f. \u041c\u044b \u043f\u0440\u0438\u0432\u043e\u0437\u0438\u043c \u0441\u0430\u043c\u043e\u043a\u0430\u0442 8 \u043c\u0430\u044f \u0432 \u0442\u0435\u0447\u0435\u043d\u0438\u0435 \u0434\u043d\u044f. \u041e\u0442\u0441\u0447\u0451\u0442 \u0432\u0440\u0435\u043c\u0435\u043d\u0438 \u0430\u0440\u0435\u043d\u0434\u044b \u043d\u0430\u0447\u0438\u043d\u0430\u0435\u0442\u0441\u044f \u0441 \u043c\u043e\u043c\u0435\u043d\u0442\u0430, \u043a\u043e\u0433\u0434\u0430 \u0432\u044b \u043e\u043f\u043b\u0430\u0442\u0438\u0442\u0435 \u0437\u0430\u043a\u0430\u0437 \u043a\u0443\u0440\u044c\u0435\u0440\u0443. \u0415\u0441\u043b\u0438 \u043c\u044b \u043f\u0440\u0438\u0432\u0435\u0437\u043b\u0438 \u0441\u0430\u043c\u043e\u043a\u0430\u0442 8 \u043c\u0430\u044f \u0432 20:30, \u0441\u0443\u0442\u043e\u0447\u043d\u0430\u044f \u0430\u0440\u0435\u043d\u0434\u0430 \u0437\u0430\u043a\u043e\u043d\u0447\u0438\u0442\u0441\u044f 9 \u043c\u0430\u044f \u0432 20:30.]","Проверка, что при клике на вопрос отображается правильный текст ответа"
"passed","Tue Mar 04 23:09:34 QYZT 2025","Tue Mar 04 23:09:41 QYZT 2025","7195","tests","test_questions","TestMainPage","","","test_text[question_locator5-answer_locator5-\u0421\u0430\u043c\u043e\u043a\u0430\u0442 \u043f\u0440\u0438\u0435\u0437\u0436\u0430\u0435\u0442 \u043a \u0432\u0430\u043c \u0441 \u043f\u043e\u043b\u043d\u043e\u0439 \u0437\u0430\u0440\u044f\u0434\u043a\u043e\u0439. \u042d\u0442\u043e\u0433\u043e \u0445\u0432\u0430\u0442\u0430\u0435\u0442 \u043d\u0430 \u0432\u043e\u0441\u0435\u043c\u044c \u0441\u0443\u0442\u043e\u043a \u2014 \u0434\u0430\u0436\u0435 \u0435\u0441\u043b\u0438 \u0431\u0443\u0434\u0435\u0442\u0435 \u043a\u0430\u0442\u0430\u0442\u044c\u0441\u044f \u0431\u0435\u0437 \u043f\u0435\u0440\u0435\u0434\u044b\u0448\u0435\u043a \u0438 \u0432\u043e \u0441\u043d\u0435. \u0417\u0430\u0440\u044f\u0434\u043a\u0430 \u043d\u0435 \u043f\u043e\u043d\u0430\u0434\u043e\u0431\u0438\u0442\u0441\u044f.]","Проверка, что при клике на вопрос отображается правильный текст ответа"
